temperature,humidity,rainfall,wind_speed,soil_ph,nitrogen,organic_carbon,clay,sand,silt,cec,season,label
23.42,50.43,83.78,5.27,5.96,36.26,15.92,25.19,45.32,29.49,15.55,Rabi,Beans
31.42,53.07,84.98,6.84,6.94,62.91,25.0,28.85,48.43,22.72,16.5,Whole Year,Mango
27.5,68.66,93.35,5.45,6.72,71.7,21.56,29.99,44.39,25.62,16.0,Whole Year,Orange
29.36,59.75,147.72,12.62,7.47,62.83,13.21,40.73,27.69,31.58,34.46,Kharif,Cotton
25.06,60.9,155.88,11.8,6.26,86.32,18.38,30.9,43.42,25.68,21.67,Kharif,Maize
23.79,67.69,99.77,11.5,6.54,58.77,21.32,28.06,47.82,24.12,17.93,Whole Year,Orange
18.86,60.92,123.94,8.51,5.91,35.64,11.14,27.19,45.68,27.13,14.91,Rabi,Beans
26.81,79.67,189.33,11.19,6.49,85.17,25.0,30.61,32.29,37.1,20.83,Kharif,Rice
20.31,64.22,93.99,7.03,6.79,85.9,22.97,26.04,44.51,29.45,19.45,Whole Year,Orange
28.13,70.42,125.27,8.39,6.83,74.66,16.12,35.45,37.85,26.7,20.14,Kharif,Maize
25.36,64.27,74.04,9.47,6.86,43.49,14.68,28.68,42.69,28.63,17.8,Kharif,Black Gram Dal(Urd Dal)
32.54,52.72,52.27,10.91,6.43,78.0,14.83,15.63,63.6,20.77,12.83,Whole Year,Karbuja(Musk Melon)
30.2,55.71,78.39,9.53,7.45,74.68,25.0,29.93,43.41,26.66,23.92,Whole Year,Pomegranate
29.47,64.8,66.19,6.95,6.59,46.36,14.65,29.67,42.37,27.96,18.51,Kharif,Black Gram Dal(Urd Dal)
27.33,77.2,188.16,10.9,6.74,87.13,24.01,27.43,37.01,35.56,24.06,Whole Year,Banana
24.86,65.34,126.54,8.39,7.12,72.84,14.13,32.35,42.88,24.77,25.2,Kharif,Maize
31.97,50.47,68.4,12.45,6.4,56.77,16.96,20.03,59.68,20.29,13.88,Whole Year,Karbuja(Musk Melon)
20.86,58.47,91.75,6.44,6.14,37.82,10.99,25.23,48.05,26.72,20.86,Rabi,Beans
25.53,61.68,160.17,8.83,6.72,61.99,13.6,39.04,31.06,29.9,31.51,Kharif,Cotton
27.71,77.96,167.5,7.75,6.8,89.28,25.0,30.25,35.85,33.9,27.16,Whole Year,Banana
21.07,52.9,72.29,9.49,7.35,51.85,17.48,28.96,48.51,22.53,17.62,Whole Year,Grapes
27.14,61.04,87.67,8.67,6.61,44.72,12.11,30.28,42.26,27.46,15.04,Kharif,Black Gram Dal(Urd Dal)
20.92,56.45,106.08,7.11,6.16,44.13,18.93,23.56,48.26,28.18,18.87,Rabi,Beans
30.67,53.12,128.67,9.89,6.46,64.51,25.0,32.92,42.8,24.28,19.63,Whole Year,Mango
30.74,73.42,109.7,5.05,6.53,70.98,22.1,27.63,47.94,24.43,18.7,Whole Year,Papaya
27.95,55.73,88.54,9.78,6.09,60.03,13.56,31.04,43.23,25.73,13.64,Whole Year,Mango
31.51,44.6,45.67,10.88,6.57,61.58,11.74,19.07,60.6,20.33,10.79,Whole Year,Karbuja(Musk Melon)
28.14,51.08,123.19,9.43,6.66,74.33,21.72,27.34,45.58,27.08,23.06,Whole Year,Mango
33.85,58.44,106.77,7.78,6.64,66.02,20.12,30.4,41.33,28.27,14.62,Whole Year,Mango
19.84,57.33,92.67,6.04,6.44,46.51,13.33,29.14,42.92,27.94,19.22,Rabi,Beans
27.79,58.8,142.35,6.95,6.84,70.71,14.64,37.63,30.76,31.61,30.27,Kharif,Cotton
21.89,58.44,150.63,8.44,6.31,71.39,18.7,34.51,36.13,29.36,26.91,Kharif,Maize
26.85,58.62,92.69,11.56,6.7,74.55,17.09,35.67,39.41,24.92,22.18,Kharif,Maize
26.88,60.13,86.1,10.19,6.97,70.05,25.0,25.33,43.33,31.34,20.81,Whole Year,Pomegranate
33.69,48.11,46.82,13.88,6.42,74.6,13.14,20.0,58.74,21.26,12.19,Whole Year,Karbuja(Musk Melon)
32.4,72.77,192.16,10.43,6.75,73.17,25.0,27.47,34.04,38.49,23.02,Kharif,Rice
28.99,72.93,141.83,7.14,6.22,79.75,23.16,30.49,32.75,36.76,28.22,Kharif,Rice
28.08,73.99,165.52,7.27,6.83,87.62,25.0,29.07,39.28,31.65,21.16,Whole Year,Banana
30.94,51.0,53.8,8.58,6.48,63.85,7.76,20.68,60.95,18.37,13.02,Whole Year,Karbuja(Musk Melon)
27.9,68.73,80.43,11.33,7.16,68.32,15.45,27.13,46.12,26.75,13.48,Whole Year,Orange
30.34,71.83,122.91,6.5,6.42,80.79,20.89,27.38,48.93,23.69,16.32,Whole Year,Papaya
26.37,56.42,148.8,10.83,6.87,57.75,15.92,39.6,28.75,31.65,31.51,Kharif,Cotton
27.14,47.6,73.45,10.47,6.45,68.67,12.81,20.18,60.86,18.96,13.49,Whole Year,Water Melon
23.51,50.21,76.16,9.6,6.89,58.98,16.01,26.52,45.73,27.75,15.82,Whole Year,Grapes
20.37,53.57,98.21,8.52,6.18,34.48,13.8,28.04,45.37,26.59,13.59,Rabi,Beans
28.24,53.45,113.32,8.17,6.57,69.77,18.87,29.93,45.53,24.54,22.77,Whole Year,Mango
24.92,67.77,83.95,6.77,6.6,24.21,14.52,28.19,42.07,29.74,15.74,Kharif,Black Gram Dal(Urd Dal)
28.03,75.15,165.94,7.39,6.65,75.22,23.1,30.68,35.67,33.65,18.89,Kharif,Rice
26.33,49.32,68.0,8.38,6.88,55.66,20.75,25.46,50.6,23.94,15.24,Whole Year,Grapes
28.35,74.85,168.51,9.78,6.69,100.02,25.0,24.2,34.46,41.34,22.21,Kharif,Rice
28.77,75.07,172.64,8.44,6.83,86.18,25.0,25.65,36.58,37.77,27.93,Whole Year,Banana
20.96,63.6,116.16,7.98,6.29,39.81,16.78,34.47,38.75,26.78,19.76,Rabi,Beans
29.96,44.39,65.36,7.12,6.81,53.99,19.16,17.64,58.61,23.75,15.24,Whole Year,Karbuja(Musk Melon)
31.55,62.16,90.93,11.3,6.18,54.67,19.08,31.68,44.79,23.53,18.08,Whole Year,Mango
29.36,59.02,115.05,10.36,6.82,81.76,25.0,30.14,45.16,24.7,22.05,Kharif,Maize
28.05,70.98,85.12,9.54,6.9,66.5,16.38,23.65,50.88,25.47,18.23,Whole Year,Orange
21.22,57.02,105.9,7.31,6.02,38.87,13.53,23.4,47.1,29.5,12.98,Rabi,Beans
30.9,52.9,114.18,9.82,6.77,70.63,24.76,29.86,44.0,26.14,14.93,Whole Year,Mango
30.18,59.43,88.52,9.82,6.35,63.42,16.28,26.83,48.61,24.56,24.48,Whole Year,Mango
27.81,64.34,79.56,9.35,6.79,32.55,12.85,27.78,46.95,25.27,18.15,Kharif,Black Gram Dal(Urd Dal)
31.22,69.22,131.6,8.15,6.51,74.47,25.0,27.35,46.26,26.39,16.81,Whole Year,Papaya
28.15,81.77,170.87,11.37,6.56,81.62,25.0,32.74,34.44,32.82,25.41,Kharif,Rice
33.16,45.15,50.6,11.19,6.76,63.91,17.19,13.14,67.57,19.29,14.61,Whole Year,Karbuja(Musk Melon)
29.44,64.19,64.7,8.49,6.68,38.27,14.31,32.11,34.45,33.44,16.2,Kharif,Black Gram Dal(Urd Dal)
27.97,56.86,128.54,5.93,7.25,55.15,11.77,41.08,29.33,29.59,31.1,Kharif,Cotton
24.88,73.02,182.5,8.96,6.2,96.81,24.33,30.21,37.19,32.6,20.98,Whole Year,Banana
24.35,59.25,71.38,12.14,6.94,71.57,22.23,30.58,40.01,29.41,25.21,Whole Year,Pomegranate
27.1,62.58,121.15,9.74,6.62,69.91,8.26,35.81,37.82,26.37,22.92,Kharif,Maize
24.39,69.89,91.32,7.84,6.5,90.68,19.53,27.16,41.98,30.86,18.55,Whole Year,Orange
26.92,55.54,93.5,12.25,7.06,65.04,25.0,33.22,40.26,26.52,22.96,Whole Year,Pomegranate
19.65,56.24,105.18,8.7,5.92,37.15,14.33,25.75,45.53,28.72,14.99,Rabi,Beans
29.68,48.04,49.52,11.98,6.9,67.79,11.6,19.17,58.2,22.63,13.3,Whole Year,Karbuja(Musk Melon)
29.55,72.14,129.14,10.83,6.79,74.82,20.86,29.52,43.97,26.51,20.84,Whole Year,Papaya
21.23,68.6,107.2,8.17,6.29,35.67,20.74,23.86,45.33,30.81,20.81,Rabi,Beans
26.59,60.26,55.83,11.92,6.71,70.8,11.17,24.21,48.72,27.07,19.95,Whole Year,Grapes
29.48,54.81,74.06,12.05,6.87,73.39,10.56,20.71,57.6,21.69,14.43,Whole Year,Water Melon
30.27,49.12,52.42,7.43,6.86,55.16,18.72,18.84,62.66,18.5,16.61,Whole Year,Karbuja(Musk Melon)
31.74,57.57,46.53,12.08,6.68,73.74,18.19,18.81,62.4,18.79,15.55,Whole Year,Water Melon
28.97,71.22,165.61,6.46,6.81,73.24,21.47,22.42,49.93,27.65,19.37,Whole Year,Papaya
25.85,79.9,165.22,11.04,6.69,80.05,24.59,25.34,34.33,40.33,22.11,Kharif,Rice
24.59,53.91,69.59,8.73,6.39,59.7,10.05,27.03,47.76,25.21,17.29,Whole Year,Grapes
20.65,63.12,109.47,12.02,6.63,65.11,17.34,25.18,47.26,27.56,19.69,Whole Year,Orange
29.2,79.44,167.28,8.12,6.98,96.67,23.83,30.87,36.05,33.08,21.0,Whole Year,Banana
20.23,58.23,81.59,8.79,6.2,46.56,14.75,27.57,40.61,31.82,16.43,Rabi,Beans
21.38,60.4,98.14,5.07,5.85,35.58,20.06,23.58,48.89,27.53,18.31,Rabi,Beans
24.37,57.55,91.91,9.28,5.84,44.1,16.89,28.23,42.99,28.78,19.38,Rabi,Beans
25.98,57.67,125.84,9.01,6.95,63.21,18.12,31.62,43.14,25.24,21.63,Kharif,Maize
27.35,51.72,84.61,9.94,7.16,74.76,25.0,24.87,46.08,29.05,24.5,Whole Year,Pomegranate
27.17,75.76,175.53,8.68,6.3,59.21,24.3,25.74,35.21,39.05,22.66,Kharif,Rice
22.24,59.1,87.94,4.8,6.24,35.45,13.4,23.34,49.05,27.61,17.94,Rabi,Beans
35.53,42.44,54.33,8.75,6.57,64.72,12.92,18.39,59.82,21.79,16.06,Whole Year,Water Melon
24.81,48.64,95.06,10.18,7.12,40.81,13.85,28.35,50.07,21.58,20.05,Whole Year,Grapes
28.03,79.6,159.44,9.99,6.57,82.63,25.0,34.36,31.25,34.39,24.68,Kharif,Rice
27.97,74.12,137.93,10.28,6.97,80.62,25.0,27.95,33.12,38.93,22.44,Kharif,Rice
25.28,73.75,166.35,11.02,6.49,87.61,24.68,21.06,41.45,37.49,19.33,Kharif,Rice
26.6,64.24,99.39,11.9,6.98,58.34,12.79,31.98,39.82,28.2,23.89,Kharif,Maize
27.02,50.88,87.99,8.19,7.27,66.95,25.0,31.78,43.14,25.08,20.37,Whole Year,Pomegranate
31.59,48.11,66.19,11.88,6.46,67.32,13.69,15.66,64.54,19.8,12.11,Whole Year,Water Melon
31.3,73.17,118.57,9.37,6.45,69.07,22.78,21.18,49.01,29.81,21.38,Whole Year,Papaya
27.7,63.56,130.97,7.62,6.83,75.21,13.59,36.86,41.8,21.34,20.02,Kharif,Maize
30.15,73.56,190.07,10.41,6.72,82.86,18.54,29.01,34.95,36.04,21.87,Whole Year,Banana
27.95,77.24,176.3,8.12,6.55,74.07,19.32,33.27,31.17,35.56,22.56,Kharif,Rice
27.99,68.61,77.12,7.9,6.69,40.71,14.78,30.02,44.86,25.12,18.84,Kharif,Black Gram Dal(Urd Dal)
29.5,61.0,107.81,10.18,6.66,84.87,9.5,31.26,42.44,26.3,19.33,Kharif,Maize
25.07,60.34,132.94,8.09,7.19,51.88,12.49,36.74,31.78,31.48,30.94,Kharif,Cotton
31.98,72.27,130.65,11.72,6.22,85.06,20.35,26.65,49.02,24.33,21.68,Whole Year,Papaya
22.11,62.52,114.85,8.79,6.75,64.67,14.87,31.91,43.83,24.26,17.97,Whole Year,Orange
30.09,63.84,104.55,6.09,6.83,73.79,20.07,35.62,39.31,25.07,24.37,Kharif,Maize
28.4,58.98,124.01,10.14,6.86,55.91,10.5,37.63,30.57,31.8,33.96,Kharif,Cotton
32.26,52.8,61.27,12.01,6.34,68.12,16.02,19.9,60.37,19.73,10.98,Whole Year,Water Melon
28.79,61.56,69.8,8.54,6.36,38.38,12.29,29.92,39.87,30.21,16.79,Kharif,Black Gram Dal(Urd Dal)
33.48,55.35,50.62,10.68,6.66,77.42,15.08,16.51,60.88,22.61,13.81,Whole Year,Water Melon
28.2,50.62,110.0,8.82,6.31,70.71,23.48,28.76,40.75,30.49,20.58,Whole Year,Mango
27.95,54.91,46.41,11.86,6.62,74.13,14.4,16.68,64.65,18.67,12.77,Whole Year,Karbuja(Musk Melon)
31.53,55.25,58.14,12.51,6.83,78.87,13.15,16.6,62.03,21.37,12.5,Whole Year,Water Melon
27.88,63.78,127.32,8.44,7.09,70.97,16.56,30.25,42.94,26.81,21.47,Kharif,Maize
25.28,60.23,109.39,9.46,6.76,64.29,15.63,28.25,45.11,26.64,17.96,Whole Year,Orange
32.4,60.01,75.38,7.78,6.76,31.64,9.92,28.29,43.26,28.45,18.34,Kharif,Black Gram Dal(Urd Dal)
27.88,81.25,213.65,9.44,6.53,77.5,24.65,24.65,40.48,34.87,25.43,Whole Year,Banana
29.89,67.62,133.62,8.71,6.71,59.85,19.97,35.02,40.26,24.72,18.5,Kharif,Maize
27.54,46.79,59.28,9.0,6.54,73.19,15.13,19.57,56.76,23.67,11.7,Whole Year,Karbuja(Musk Melon)
26.66,71.14,128.47,10.76,7.01,83.34,17.45,36.63,38.5,24.87,24.99,Kharif,Maize
31.56,63.46,68.25,9.87,7.07,75.64,25.0,34.26,39.6,26.14,23.13,Whole Year,Pomegranate
26.34,76.52,166.36,11.14,7.0,84.77,25.0,29.81,36.01,34.18,25.32,Kharif,Rice
30.22,56.26,68.09,7.89,6.86,37.76,13.81,30.56,43.97,25.47,15.72,Kharif,Black Gram Dal(Urd Dal)
25.12,47.65,51.0,11.62,6.51,66.3,17.01,25.2,49.34,25.46,15.65,Whole Year,Grapes
24.81,59.83,138.81,9.11,7.56,61.56,18.61,39.36,25.77,34.87,33.81,Kharif,Cotton
28.98,76.9,144.43,9.45,6.46,93.07,23.89,27.52,39.12,33.36,20.97,Kharif,Rice
33.45,67.65,132.26,4.67,6.79,83.22,22.29,27.8,45.88,26.32,23.81,Whole Year,Papaya
21.52,53.65,104.02,6.77,6.4,45.28,21.61,21.11,46.33,32.56,17.13,Rabi,Beans
25.61,66.56,118.61,11.9,6.53,65.69,20.21,26.69,46.0,27.31,18.32,Whole Year,Orange
28.05,69.92,198.89,9.01,6.82,95.51,25.0,27.06,36.41,36.53,22.17,Whole Year,Banana
27.1,76.45,173.08,10.58,7.11,79.21,24.53,29.33,34.07,36.6,23.0,Kharif,Rice
31.25,53.94,102.48,8.11,6.51,67.75,21.41,33.57,44.75,21.68,20.48,Whole Year,Mango
22.22,59.39,112.57,7.99,6.31,38.6,16.73,30.16,43.73,26.11,16.14,Rabi,Beans
29.26,48.8,50.84,12.01,6.45,72.38,14.2,17.23,60.14,22.63,12.99,Whole Year,Water Melon
27.0,61.79,135.51,6.65,7.11,74.16,18.0,36.07,42.95,20.98,17.08,Kharif,Maize
26.28,79.43,192.52,8.04,6.35,76.89,25.0,28.45,35.64,35.91,23.05,Kharif,Rice
25.19,56.26,117.06,9.41,6.39,74.6,20.28,31.9,38.29,29.81,20.73,Kharif,Maize
26.07,77.75,171.39,9.89,6.95,91.3,25.0,28.56,39.27,32.17,23.62,Whole Year,Banana
26.65,78.06,176.8,6.83,6.85,90.4,18.39,29.43,37.76,32.81,24.65,Kharif,Rice
28.84,56.42,152.26,8.5,7.11,73.38,12.54,37.52,30.55,31.93,37.62,Kharif,Cotton
29.52,65.68,57.75,11.04,6.66,30.7,11.22,24.91,48.65,26.44,18.04,Kharif,Black Gram Dal(Urd Dal)
24.89,56.86,64.63,9.04,6.59,39.83,19.49,23.42,52.93,23.65,17.23,Whole Year,Grapes
27.22,66.64,189.32,8.22,6.88,87.11,25.0,30.28,33.75,35.97,25.35,Whole Year,Banana
26.49,59.71,100.79,8.88,7.01,64.64,17.58,30.19,43.16,26.65,17.62,Whole Year,Orange
26.79,51.15,79.78,13.29,7.24,67.92,25.0,32.26,39.48,28.26,18.8,Whole Year,Pomegranate
27.41,64.89,129.37,9.43,7.03,68.16,11.55,38.37,28.92,32.71,33.49,Kharif,Cotton
30.12,42.44,66.09,6.88,6.49,63.93,14.68,19.15,62.78,18.07,13.38,Whole Year,Karbuja(Musk Melon)
27.99,58.21,107.19,9.97,6.42,86.43,25.0,31.09,45.02,23.89,17.15,Whole Year,Mango
30.84,53.74,77.08,9.4,6.9,72.16,25.0,30.61,38.79,30.6,20.35,Whole Year,Pomegranate
28.45,75.87,127.39,7.68,6.46,83.39,25.0,24.15,46.61,29.24,16.13,Whole Year,Papaya
27.1,72.96,177.73,10.34,6.6,74.08,25.0,29.01,33.76,37.23,17.47,Kharif,Rice
25.07,57.06,115.22,9.61,6.79,65.64,18.12,31.3,41.23,27.47,20.24,Kharif,Maize
29.52,54.67,72.44,9.44,7.3,76.78,25.0,33.0,40.2,26.8,20.77,Whole Year,Pomegranate
27.97,67.03,152.19,9.3,7.2,57.63,11.87,39.5,28.24,32.26,31.06,Kharif,Cotton
26.72,55.71,74.16,11.19,6.89,56.72,24.5,25.65,48.88,25.47,18.25,Whole Year,Grapes
25.49,60.03,117.88,9.29,7.08,74.3,17.08,33.01,40.21,26.78,21.51,Kharif,Maize
27.91,62.2,152.5,7.9,7.04,74.52,17.42,36.96,29.82,33.22,34.24,Kharif,Cotton
25.11,64.76,102.18,11.33,6.67,76.85,19.94,29.75,46.57,23.68,16.4,Whole Year,Orange
27.3,59.57,81.37,8.69,6.86,32.37,15.8,26.88,46.26,26.86,15.76,Kharif,Black Gram Dal(Urd Dal)
28.33,63.44,149.74,8.25,7.16,71.02,12.97,37.2,30.91,31.89,33.51,Kharif,Cotton
26.04,84.53,163.65,7.67,6.74,85.06,20.86,30.57,32.42,37.01,21.62,Kharif,Rice
31.75,49.68,116.25,8.89,6.69,68.56,20.73,28.97,43.93,27.1,18.48,Whole Year,Mango
33.2,56.68,43.32,10.94,6.74,74.84,10.96,19.33,58.39,22.28,15.57,Whole Year,Water Melon
32.11,50.59,53.22,8.67,6.75,73.43,13.49,20.55,59.55,19.9,15.95,Whole Year,Karbuja(Musk Melon)
21.37,62.77,98.94,7.02,5.72,52.18,13.6,25.4,51.59,23.01,14.65,Rabi,Beans
26.91,46.45,68.0,8.78,6.8,69.32,14.4,18.12,60.52,21.36,17.44,Whole Year,Water Melon
24.72,67.02,109.32,11.24,6.96,80.92,13.8,24.97,52.63,22.4,17.69,Whole Year,Orange
29.27,57.04,73.54,10.98,6.87,63.76,22.84,28.33,50.89,20.78,18.55,Whole Year,Grapes
26.84,61.56,112.7,9.33,6.69,74.31,18.53,27.16,48.97,23.87,20.18,Whole Year,Orange
28.25,56.81,120.62,6.99,6.75,75.44,11.53,29.31,43.38,27.31,21.08,Kharif,Maize
31.37,57.41,101.2,10.65,7.04,53.3,22.58,31.73,36.93,31.34,22.21,Whole Year,Pomegranate
24.27,56.36,103.71,10.7,6.19,39.39,18.67,26.47,42.84,30.69,19.74,Rabi,Beans
26.19,57.96,85.75,11.17,7.5,81.13,25.0,31.83,41.14,27.03,22.71,Whole Year,Pomegranate
24.1,68.58,81.11,7.41,6.88,68.49,15.56,27.35,44.57,28.08,19.64,Whole Year,Orange
25.28,58.02,64.52,8.68,6.55,37.82,14.36,31.83,41.19,26.98,19.33,Kharif,Black Gram Dal(Urd Dal)
24.94,69.55,189.57,11.52,6.53,99.14,25.0,28.31,35.28,36.41,19.73,Kharif,Rice
25.98,79.8,187.46,9.39,6.56,86.4,24.13,27.46,37.24,35.3,21.93,Kharif,Rice
26.18,75.3,169.17,8.63,7.07,86.17,23.97,27.33,38.11,34.56,20.92,Whole Year,Banana
21.17,63.69,95.41,4.89,6.08,30.69,12.94,24.87,45.27,29.86,20.92,Rabi,Beans
25.04,61.56,142.74,11.28,7.03,62.46,19.02,38.08,31.03,30.89,28.82,Kharif,Cotton
30.65,67.24,149.43,9.92,7.1,62.87,13.01,39.03,31.32,29.65,29.61,Kharif,Cotton
23.62,69.71,107.06,9.49,7.19,56.21,16.75,38.78,30.46,30.76,31.37,Kharif,Cotton
26.2,74.66,185.05,9.09,6.7,89.07,19.1,28.1,37.7,34.2,25.8,Kharif,Rice
26.45,59.4,92.13,10.71,7.07,87.85,25.0,30.89,40.33,28.78,20.83,Whole Year,Pomegranate
24.24,59.55,120.04,7.02,6.52,71.23,18.68,26.65,44.1,29.25,21.26,Whole Year,Orange
27.63,72.2,174.82,9.42,7.02,79.84,25.0,26.39,31.2,42.41,26.42,Whole Year,Banana
19.24,67.33,112.09,5.88,6.32,44.98,14.79,23.67,45.25,31.08,15.89,Rabi,Beans
28.72,63.4,120.75,8.45,7.43,71.75,19.77,30.76,41.6,27.64,22.27,Kharif,Maize
27.76,46.43,74.05,7.66,6.8,50.8,11.52,24.85,50.26,24.89,14.63,Whole Year,Grapes
23.5,67.19,112.72,8.33,6.94,70.23,23.49,27.65,46.45,25.9,17.8,Whole Year,Orange
25.59,76.3,174.01,10.11,6.31,94.91,23.15,30.12,35.11,34.77,24.68,Kharif,Rice
31.65,55.75,84.49,8.7,6.28,67.31,15.21,26.71,48.7,24.59,15.12,Whole Year,Mango
26.42,57.23,87.93,10.43,6.83,48.92,23.84,23.95,47.45,28.6,17.36,Whole Year,Grapes
33.4,52.65,56.89,11.42,6.61,83.43,8.59,15.58,64.6,19.82,13.68,Whole Year,Water Melon
23.1,60.48,106.86,8.75,6.59,59.69,23.66,25.16,45.11,29.73,18.68,Whole Year,Orange
30.45,77.32,179.45,9.74,6.9,84.86,25.0,30.0,32.26,37.74,28.56,Whole Year,Banana
